City,State,Total_Population,Median_Income,Unemployment_Rate,Median_Age,Type,Total no. of census tracts,Total no. of disadvantaged tracts,Percentage of disadvantaged population
Rose city,Texas,441,31591,0.87,50.3,City,2,2,100
Rose Hill Acres city,Texas,300,82548,19.61,51.8,City,1,0,0
Rosebud city,Texas,1419,39150,0,35.6,City,1,1,100
Rosenberg city,Texas,37816,58633,5.46,30.9,City,16,6,79.88
Ross city,Texas,233,51111,3.77,58.7,City,6,0,0
Rotan city,Texas,1286,37813,1.45,44.2,City,1,1,100
Round Rock city,Texas,128812,86121,4.86,35.4,City,48,1,4.11
Rowlett city,Texas,65426,103627,4.33,38.9,City,18,1,11.38
Roxton city,Texas,629,35833,4.76,33.5,City,1,1,100
Royse city,Texas,13773,91550,2,30.6,City,10,0,0
Runaway Bay city,Texas,1724,73947,6.67,51.6,City,2,0,0
Rusk city,Texas,5598,48235,13.25,37.9,City,3,2,68.14
Sabinal city,Texas,1061,20962,8.85,45.7,City,1,1,100
Sachse city,Texas,25888,109098,4.92,39.8,City,10,0,0
Sadler city,Texas,490,47092,0,35.2,City,2,0,0
Saginaw city,Texas,23835,89533,3.22,36.4,City,9,0,0
San Angelo city,Texas,100509,55682,4,34,City,26,3,12.29
San Antonio city,Texas,1529133,53420,5.94,33.8,City,354,161,45.82
San Augustine city,Texas,1857,28519,10.56,49.7,City,2,2,100
San Benito city,Texas,24259,30565,4.88,34.5,City,14,2,100
San Diego city,Texas,4062,32165,7.52,37.9,City,3,1,100
San Elizario city,Texas,9079,39735,3.55,27.5,City,6,2,100
San Juan city,Texas,36759,45263,5.91,29.3,City,12,3,100
San Marcos city,Texas,64053,42030,7.4,25.1,City,20,3,45.17
San Patricio city,Texas,364,59750,2.53,45.4,City,1,1,100
San Perlita city,Texas,739,28542,19.06,34.3,City,1,1,100
San Saba city,Texas,3134,31181,2.44,34.6,City,2,1,43.58
Sandy Oaks city,Texas,4611,43750,5.6,34.5,City,1,1,100
Sandy Point city,Texas,209,57083,4.04,46.3,City,1,0,0
Sanger city,Texas,8535,71447,3.01,33.6,City,5,0,0
Sansom Park city,Texas,5593,55465,5.94,30.6,City,1,1,100
Santa Clara city,Texas,766,68393,1.55,43.3,City,3,0,0
Santa Fe city,Texas,13326,77926,7.61,42.8,City,9,0,0
Savoy city,Texas,1007,46635,1.42,41.2,City,1,0,0
Schertz city,Texas,42433,84527,4.21,37.9,City,19,0,0
Schulenburg city,Texas,2909,44625,4.01,41.6,City,1,0,0
Scotland city,Texas,642,85147,0.29,27.8,City,1,1,100
Scottsville city,Texas,335,51250,0,35.9,City,1,1,100
Seabrook city,Texas,13849,89885,4.14,34.7,City,6,1,9.69
Seadrift city,Texas,1590,38322,5.21,33,City,2,0,0
Seagoville city,Texas,16726,62038,6.53,34.3,City,8,0,0
Seagraves city,Texas,2873,44212,3.44,32.5,City,1,1,100
Sealy city,Texas,6439,58068,5.55,37.1,City,4,0,0
Seguin city,Texas,29458,49976,5.9,35.9,City,15,4,47.12
Selma city,Texas,11241,84712,4.9,32.4,City,4,0,0
Seminole city,Texas,7683,58344,1.95,31.1,City,3,1,100
Seven Oaks city,Texas,130,48125,3.57,60.3,City,2,1,51.94
Seven Points city,Texas,1279,39355,1.09,41.9,City,5,1,100
Seymour city,Texas,2931,40868,2.13,46.3,City,2,0,0
Shallowater city,Texas,2573,63777,2.07,38.4,City,2,0,0
Shamrock city,Texas,1958,42250,6.67,37,City,1,1,100
Shavano Park city,Texas,3874,198295,3.6,52.6,City,3,0,0
Shenandoah city,Texas,2955,81806,1.92,50,City,4,0,0
Shepherd city,Texas,2489,43816,6.62,30.6,City,3,0,0
Sherman city,Texas,43239,50627,3.36,34.6,City,11,4,45.67
Shiner city,Texas,2141,63553,0.98,45.1,City,1,0,0
Shoreacres city,Texas,1551,118021,5.4,43.3,City,5,1,24.38
Silsbee city,Texas,6642,51563,1.79,40.3,City,2,0,0
Silverton city,Texas,730,36612,2.42,40.6,City,1,1,100
Simonton city,Texas,842,119688,0,34.9,City,2,0,0
Sinton city,Texas,5389,40147,11.28,28.2,City,2,2,100
Slaton city,Texas,5953,40300,12.54,36.2,City,3,0,0
Smiley city,Texas,621,38000,7.63,37.8,City,1,0,0
Smithville city,Texas,4501,56968,5.27,44.6,City,3,0,0
Snook city,Texas,554,65865,2.22,48.9,City,1,0,0
Snyder city,Texas,11211,46234,4.01,33.3,City,3,2,63.22
Socorro city,Texas,34329,40065,5.59,34.1,City,11,7,100
Somerset city,Texas,1821,62936,6.19,36.7,City,2,2,100
Somerville city,Texas,1226,49643,5.24,36.7,City,1,0,0
Sonora city,Texas,3357,62113,7.01,35.9,City,1,0,0
Sour Lake city,Texas,2449,55714,3.58,28.1,City,1,0,0
South Frydek city,Texas,203,100982,0,34.4,City,1,0,0
South Houston city,Texas,17522,45038,6.76,28.8,City,4,3,74.91
Southlake city,Texas,31684,223621,2.21,42,City,11,0,0
Southmayd city,Texas,1510,62262,6.19,35.8,City,2,0,0
Southside Place city,Texas,1515,250001,8.3,42.1,City,1,0,0
Spearman city,Texas,3123,42606,12.65,34.5,City,1,1,100
Splendora city,Texas,1899,58173,4.38,32.1,City,3,0,0
Spofford city,Texas,78,53929,0,46.5,City,1,1,100
Spring Branch city,Texas,123,132929,0,49.8,City,5,1,19.43
Spring Valley Village city,Texas,4294,214000,1.05,41.2,City,1,0,0
Springtown city,Texas,3059,58929,1.43,31.9,City,6,2,39.4
Spur city,Texas,957,34625,8.49,43.6,City,1,1,100
St. Jo city,Texas,863,52273,7.29,31.5,City,1,1,100
Stafford city,Texas,16904,66810,4.16,33.3,City,11,0,0
Stamford city,Texas,2898,44511,0.97,36.3,City,3,3,100
Stanton city,Texas,2978,60337,6.05,30.1,City,1,0,0
Staples city,Texas,180,72500,0,62.1,City,1,1,100
Star Harbor city,Texas,521,95568,3.21,56.5,City,1,1,100
Stephenville city,Texas,20887,48602,7.47,25.7,City,7,1,100
Sterling city,Texas,1135,52083,1.11,32.4,City,1,1,100
Stinnett city,Texas,1404,47974,4.52,43.8,City,1,1,100
Stockdale city,Texas,1353,65903,6.16,40,City,1,0,0
Stockton Bend city,Texas,461,153125,0,60.4,City,2,0,0
Stratford city,Texas,1905,47328,3.3,38.2,City,1,0,0
Strawn city,Texas,801,40170,6.48,47.4,City,1,1,100
Sudan city,Texas,1071,60676,3.41,33,City,1,1,100
Sugar Land city,Texas,118563,123261,4.91,41.5,City,36,0,0
Sullivan city,Texas,4187,30114,8.63,32.2,City,2,0,0
Sulphur Springs city,Texas,16091,48996,5.12,38,City,6,4,100
Sun Valley city,Texas,54,37000,0,27.5,City,1,0,0
Sundown city,Texas,1464,52500,3.02,35.3,City,1,0,0
Sunray city,Texas,2255,49757,5.71,37.7,City,1,1,100
Sunrise Beach Village city,Texas,994,69028,0.99,60.2,City,1,0,0
Sunset Valley city,Texas,574,148929,4.2,43.9,City,2,0,0
Surfside Beach city,Texas,585,71528,6.95,59.2,City,1,1,100
Sweeny city,Texas,3666,58165,3.12,46.9,City,1,0,0
Sweetwater city,Texas,10601,40577,6.3,34.6,City,5,2,40.76
Taft city,Texas,2924,40469,6.67,35.2,City,2,1,100
Tahoka city,Texas,2623,33802,6.16,38,City,3,2,65.11
Talco city,Texas,738,35000,7.43,32.1,City,1,1,100
Tatum city,Texas,1306,27155,11.48,32.4,City,2,0,0
Taylor city,Texas,17291,57672,6.65,38.7,City,12,2,17.26
Taylor Lake Village city,Texas,3685,130735,3.54,47.7,City,2,0,0
Taylor Landing city,Texas,248,103393,0,58.7,City,1,0,0
Teague city,Texas,3517,56852,3.35,31.8,City,2,1,36.8
Temple city,Texas,76590,53723,6.88,33.6,City,28,9,43.32
Terrell city,Texas,18513,53136,6.84,35.9,City,10,3,77.11
Terrell Hills city,Texas,5409,183832,6.05,40.1,City,2,0,0
Texarkana city,Texas,36733,46408,6.6,37.3,City,15,6,100
Texas city,Texas,49468,49229,7.9,35.2,City,21,7,46.72
Texhoma city,Texas,414,86875,0,45.4,City,1,0,0
The Colony city,Texas,43791,87748,3.45,35.2,City,19,0,0
Thorndale city,Texas,1323,60721,3.07,44.8,City,2,0,0
Thrall city,Texas,720,67188,11.5,34.5,City,1,0,0
Three Rivers city,Texas,2067,40260,4.19,30.6,City,1,1,100
Timpson city,Texas,1207,34743,8.13,37.5,City,1,1,100
Toco city,Texas,87,51607,0,61.5,City,1,1,100
Todd Mission city,Texas,123,120982,0,37.7,City,1,1,100
Tolar city,Texas,1201,88000,6.72,27.1,City,2,1,100
Tom Bean city,Texas,1116,60625,0.87,33.7,City,1,0,0
Tomball city,Texas,11689,59944,3.7,36.9,City,9,1,25.94
Tool city,Texas,2633,51389,9.29,46.7,City,2,0,0
Trenton city,Texas,669,63672,1.24,40.3,City,4,0,0
Trinidad city,Texas,839,30333,5.16,38.1,City,2,1,100
Trinity city,Texas,2764,27204,13.58,35.1,City,3,3,100
Troup city,Texas,2034,41420,22.78,32.9,City,2,2,100
Troy city,Texas,3023,56647,6.15,32.3,City,3,1,100
Tulia city,Texas,4663,30500,10.11,35.3,City,2,1,68.14
Turkey city,Texas,300,40893,1.35,38.6,City,1,1,100
Tuscola city,Texas,704,55125,0,35.1,City,1,0,0
Tye city,Texas,1090,46991,1.65,41.8,City,3,0,0
Tyler city,Texas,105859,54883,5.67,34.3,City,40,9,42.36
Uhland city,Texas,1489,46731,2.44,34.9,City,3,0,0
Uncertain city,Texas,72,48750,0,60,City,1,0,0
Union Valley city,Texas,528,69750,2.71,39.7,City,2,0,0
Universal city,Texas,20691,64170,4.31,35.2,City,7,0,0
University Park city,Texas,25027,247716,4.44,35.4,City,5,0,0
Uvalde city,Texas,16122,41683,2.16,33.9,City,7,3,100
Valley Mills city,Texas,1393,44815,1.01,31.2,City,2,0,0
Valley View city,Texas,794,66786,1.92,32.8,City,1,0,0
Van Alstyne city,Texas,4153,74933,1.05,35.6,City,5,0,0
Van city,Texas,2706,55135,5.14,32.1,City,10,2,16.37
Vega city,Texas,975,66765,0.37,40.9,City,1,0,0
Vernon city,Texas,10078,43315,8.07,36.6,City,3,2,47
Victoria city,Texas,66974,56332,5.27,34.5,City,23,11,49.84
Vidor city,Texas,10658,50182,2.16,36.7,City,8,2,55.83
Von Ormy city,Texas,1022,40000,1.74,30.5,City,2,2,100
Waco city,Texas,137779,40349,4.63,28.9,City,49,18,49.36
Waelder city,Texas,1075,53917,0.37,40.2,City,1,1,100
Wake Village city,Texas,5611,60016,4.47,35.5,City,2,0,0
Waller city,Texas,3276,36898,3.12,25,City,4,0,0
Wallis city,Texas,1755,36172,19.16,35,City,1,1,100
Walnut Springs city,Texas,722,32679,5.15,34.3,City,1,1,100
Warren city,Texas,317,61250,3.12,37.3,City,2,0,0
Waskom city,Texas,1726,38393,4.97,41.6,City,1,0,0
Watauga city,Texas,24487,75648,3.98,34.7,City,6,0,0
Waxahachie city,Texas,36735,68496,2.93,32.3,City,15,1,10.86
Weatherford city,Texas,32110,68184,3.56,36.9,City,17,1,19.2
Webster city,Texas,11229,53339,6.99,30.7,City,11,2,57.99
Weimar city,Texas,2838,47708,5.47,41.2,City,1,0,0
Weinert city,Texas,216,40156,9.6,44.4,City,1,1,100
Weir city,Texas,329,53125,0,33.9,City,1,0,0
Wellington city,Texas,2153,35000,7.8,42,City,1,1,100
Wellman city,Texas,217,90000,0,46.5,City,1,1,100
Weslaco city,Texas,41103,47094,3.91,30.1,City,16,7,100
West city,Texas,2879,49955,2.81,33.5,City,39,9,38.36
West Columbia city,Texas,3871,66949,6.95,38.6,City,2,0,0
West Lake Hills city,Texas,3302,208641,5.75,49.9,City,3,0,0
West Orange city,Texas,3287,55423,4.76,35.7,City,2,2,100
West Tawakoni city,Texas,1985,46688,10.81,46.1,City,1,1,100
West University Place city,Texas,15589,250001,6.12,42,City,3,0,0
Westbrook city,Texas,144,34688,0,43.5,City,1,0,0
Weston city,Texas,233,93125,2.36,37,City,2,0,0
Weston Lakes city,Texas,3846,171484,2.14,52.2,City,1,0,0
Westworth Village city,Texas,2713,58095,3.13,33.7,City,1,0,0
Wharton city,Texas,8654,43003,5.58,37.7,City,6,4,43.47
Wheeler city,Texas,1556,44186,4.18,38.5,City,1,0,0
White Oak city,Texas,6301,66537,3.17,34.5,City,4,1,52.08
White Settlement city,Texas,17716,50203,5,35,City,5,3,100
Whitehouse city,Texas,8673,69727,7.44,37.1,City,3,0,0
Whitesboro city,Texas,4043,71391,1.71,34,City,2,0,0
Wichita Falls city,Texas,104657,47335,4.96,32.4,City,38,18,68.32
Willis city,Texas,6731,57932,9.41,37.6,City,9,0,0
Willow Park city,Texas,5585,101048,5.48,43.4,City,5,0,0
Wills Point city,Texas,3614,34511,8.73,34.8,City,3,2,63.71
Wilmer city,Texas,4698,56012,2.75,33.2,City,1,1,100
Wilson city,Texas,358,34250,0,38.5,City,1,0,0
Wimberley city,Texas,3168,66540,8.68,54.6,City,5,0,0
Windcrest city,Texas,5854,80069,7.25,46.5,City,4,1,26.22
Winfield city,Texas,533,50250,1.67,27.4,City,1,0,0
Wink city,Texas,987,100435,0.65,29.1,City,1,0,0
Winnsboro city,Texas,3330,49107,4.97,30.5,City,3,0,0
Winters city,Texas,2560,38021,3.5,29,City,2,1,67.67
Wixon Valley city,Texas,154,77250,5.33,52.5,City,2,0,0
Wolfe city,Texas,1138,52563,7.6,40.9,City,1,0,0
Wolfforth city,Texas,5137,71958,9.08,29,City,5,0,0
Woodbranch city,Texas,1679,70227,4.52,34.5,City,2,0,0
Woodcreek city,Texas,1922,63920,18.18,55.2,City,2,0,0
Woodway city,Texas,8936,93935,3.56,42,City,4,0,0
Wylie city,Texas,51251,98484,4.39,34,City,19,0,0
Yoakum city,Texas,5762,40276,7.66,35.2,City,3,2,67.32
Yorktown city,Texas,2257,57450,1.56,35.2,City,2,1,37.04
Zavalla city,Texas,677,33125,13.93,37.5,City,1,1,100
Alpine city,Utah,10509,123450,2.17,34.1,City,3,0,0
American Fork city,Utah,31636,78690,4.02,28.1,City,15,0,0
Aurora city,Utah,842,66607,0.71,47,City,1,0,0
Bear River city,Utah,714,67656,3.74,36.6,City,1,0,0
Beaver city,Utah,3115,66696,1.03,38.6,City,1,0,0
Blanding city,Utah,3594,57758,3.16,27.3,City,1,0,0
Bluffdale city,Utah,14802,113023,2.66,29.5,City,8,0,0
Bountiful city,Utah,43991,83660,2.34,32.4,City,15,0,0
Brigham city,Utah,19336,57312,3.95,32.6,City,9,1,6.65
Castle Dale city,Utah,1380,51688,5.57,38.1,City,1,0,0
Cedar city,Utah,33404,52524,5.46,26.1,City,11,0,0
Cedar Hills city,Utah,10190,107440,2.52,25.3,City,2,0,0
Centerville city,Utah,17527,100230,1.63,38.5,City,6,0,0
Clearfield city,Utah,31622,62374,3.18,29,City,14,3,35.85
Clinton city,Utah,22191,88023,5.52,30,City,5,0,0
Coalville city,Utah,2066,80063,2.1,26.9,City,2,0,0
Corinne city,Utah,702,58558,3.97,33.5,City,1,0,0
Cottonwood Heights city,Utah,33865,95427,2.83,39,City,14,0,0
Delta city,Utah,3604,52639,3.23,37,City,2,0,0
Draper city,Utah,48594,112541,2.59,32.9,City,16,0,0
Duchesne city,Utah,2019,59125,2.42,35,City,1,1,100
Eagle Mountain city,Utah,35431,87094,3.54,19,City,9,0,0
East Carbon city,Utah,1589,29867,7.96,45.3,City,1,0,0
Elk Ridge city,Utah,3994,103875,4.07,27.1,City,1,0,0
Enoch city,Utah,7044,62643,2.47,28.6,City,3,0,0
Enterprise city,Utah,1602,63750,3.3,29.7,City,2,0,0
Ephraim city,Utah,7222,56750,5.53,22.5,City,2,0,0
Escalante city,Utah,693,39508,0,56.4,City,1,0,0
Eureka city,Utah,630,58750,13.73,47.4,City,1,1,100
Fairview city,Utah,1438,57266,4.26,43.5,City,1,0,0
Farmington city,Utah,24439,99208,2.07,30.1,City,10,0,0
Farr West city,Utah,7197,90439,1.27,37.4,City,4,0,0
Ferron city,Utah,1475,65329,12.87,39.1,City,1,0,0
Fillmore city,Utah,2585,61375,4.56,33.6,City,1,0,0
Fountain Green city,Utah,1140,58311,5.25,38.7,City,1,1,100
Fruit Heights city,Utah,6205,98438,1.45,40.8,City,5,0,0
Garland city,Utah,2554,48844,3.73,30,City,3,0,0
Grantsville city,Utah,11488,76771,5.32,29.4,City,3,0,0
Green River city,Utah,793,42361,0.48,32.8,City,1,0,0
Gunnison city,Utah,3511,66786,0,38.3,City,1,0,0
Harrisville city,Utah,6637,80250,4.21,27.5,City,3,0,0
Heber city,Utah,16362,80417,2.73,28.2,City,8,0,0
Helper city,Utah,2346,55760,3.54,43.4,City,2,0,0
Herriman city,Utah,45211,102096,4.31,28.3,City,11,0,0
Highland city,Utah,19012,146177,2.8,23.9,City,10,0,0
Hildale city,Utah,2921,58189,9.57,20.5,City,1,0,0
Holladay city,Utah,30461,92635,2.32,39.1,City,11,0,0
Honeyville city,Utah,1651,90982,1.69,33,City,3,0,0
Hooper city,Utah,8850,100347,0.71,37,City,5,0,0
Huntington city,Utah,2131,56850,4.4,30.5,City,1,0,0
Hurricane city,Utah,18112,57882,1.74,37.7,City,6,1,100
Hyde Park city,Utah,4703,76591,3.72,24.9,City,4,0,0
Hyrum city,Utah,8415,66902,2.28,29.1,City,4,0,0
Ivins city,Utah,8931,67996,4.01,52.1,City,4,0,0
Kamas city,Utah,2591,70867,1.03,24.6,City,2,0,0
Kanab city,Utah,4767,53667,1.79,44.2,City,1,1,100
Kaysville city,Utah,31957,103730,2.93,30.9,City,10,0,0
La Verkin city,Utah,4383,49954,5.56,34.8,City,3,1,100
Layton city,Utah,77268,81067,2.26,31.4,City,24,2,13.87
Lehi city,Utah,66980,101429,4,26,City,24,0,0
Lewiston city,Utah,2091,64034,0.7,34.8,City,2,0,0
Lindon city,Utah,11072,95233,2.72,26.4,City,7,0,0
Logan city,Utah,51266,43056,3.42,23.8,City,18,0,0
Manti city,Utah,3671,44540,3.45,34.7,City,2,1,100
Mapleton city,Utah,10270,110417,1.69,31.5,City,7,1,19.04
Marriott-Slaterville city,Utah,1862,72202,0.33,37.8,City,4,0,0
Mendon city,Utah,1342,93438,0,39.4,City,1,0,0
Midvale city,Utah,33708,62354,4.93,31.5,City,10,2,36.16
Midway city,Utah,5210,101944,1.24,41.5,City,2,0,0
Milford city,Utah,1827,65045,6.34,26.2,City,1,0,0
Millcreek city,Utah,60828,74325,3.82,36.5,City,22,2,9.68
Millville city,Utah,1895,65506,0.21,30.6,City,3,0,0
Moab city,Utah,5303,46875,4.68,37.6,City,3,1,100
Mona city,Utah,1699,81806,1.71,31,City,1,1,100
Monroe city,Utah,2322,60464,2.02,41.6,City,1,0,0
Monticello city,Utah,2570,65928,4.15,32.8,City,1,0,0
Morgan city,Utah,4259,79153,1.84,30.8,City,2,0,0
Moroni city,Utah,1405,63077,3.82,34.5,City,1,1,100
Mount Pleasant city,Utah,3471,54811,6.71,31.7,City,2,0,0
Murray city,Utah,48969,65397,4.21,37.2,City,21,1,7.01
Myton city,Utah,554,44531,13.15,35.7,City,1,1,100
Naples city,Utah,3512,78973,3.33,30.7,City,3,0,0
Nephi city,Utah,6168,69118,2.88,30.6,City,2,1,45.49
Nibley city,Utah,6993,90650,0.62,26.5,City,4,0,0
North Logan city,Utah,10978,73148,2.98,27.4,City,5,0,0
North Ogden city,Utah,19930,87755,2.9,30.9,City,9,0,0
North Salt Lake city,Utah,20721,80064,2.88,30.9,City,8,0,0
Oakley city,Utah,1600,78594,1.59,33.2,City,1,0,0
Ogden city,Utah,87175,55974,4.56,33,City,30,11,44.07
Orangeville city,Utah,1253,61731,0,37.5,City,1,0,0
Orem city,Utah,97883,65622,3.85,26.5,City,30,0,0
Panguitch city,Utah,1718,37917,3.15,33.7,City,1,1,100
Park city,Utah,8467,114798,1.62,41,City,4,0,0
Parowan city,Utah,3104,41505,7.65,33.9,City,1,0,0
Payson city,Utah,20181,69014,5.09,26.8,City,10,1,12.13
Perry city,Utah,5090,82435,0.31,34.6,City,3,0,0
Plain city,Utah,7159,108355,2.51,32.4,City,3,0,0
Pleasant Grove city,Utah,38474,76672,3.63,28.3,City,13,0,0
Pleasant View city,Utah,10460,101979,3.52,34.6,City,3,0,0
Price city,Utah,8303,42500,7.37,34.5,City,5,1,19.72
Providence city,Utah,7732,84243,2.53,34.1,City,5,0,0
Provo city,Utah,116886,50072,5,23.7,City,37,2,9.28
Richfield city,Utah,7813,48776,7.28,31.6,City,2,0,0
Richmond city,Utah,2733,67411,2.57,33.6,City,1,0,0
River Heights city,Utah,1980,77984,1.34,34.4,City,2,0,0
Riverdale city,Utah,8826,54723,4.18,30.8,City,3,0,0
Riverton city,Utah,43793,101810,3.18,32.6,City,13,0,0
Roosevelt city,Utah,7077,57659,11.46,28.9,City,3,1,100
Roy city,Utah,39243,72739,2.78,31.4,City,10,1,23.15
Salem city,Utah,8403,86745,3.53,28.3,City,5,1,19.45
Salina city,Utah,2603,55565,12.39,36.5,City,2,0,0
Salt Lake city,Utah,200133,63156,3.8,32.5,City,61,12,27.33
Sandy city,Utah,96137,95715,2.44,36,City,30,1,5.87
Santa Clara city,Utah,7868,74531,1.84,34.6,City,5,0,0
Santaquin city,Utah,12276,76071,3.9,26.1,City,7,1,19.05
Saratoga Springs city,Utah,31273,101592,2.54,22,City,13,0,0
Smithfield city,Utah,11670,73788,3.22,26.6,City,2,0,0
South Jordan city,Utah,73695,106824,1.95,33.1,City,17,0,0
South Ogden city,Utah,17080,70552,1.21,32.5,City,8,1,8.75
South Salt Lake city,Utah,25125,49616,5.86,31.9,City,7,2,32.5
South Weber city,Utah,7631,115639,5.24,32,City,3,0,0
Spanish Fork city,Utah,40069,79846,1.81,26.4,City,17,1,5.75
Spring city,Utah,1027,52898,6.91,54.5,City,1,0,0
Springville city,Utah,33251,72356,2.96,26,City,16,2,12.57
St. George city,Utah,87176,59989,3.93,38.1,City,24,2,18.59
Sunset city,Utah,5309,63697,4.26,30.6,City,2,0,0
Syracuse city,Utah,30366,103522,1.43,27.6,City,8,0,0
Taylorsville city,Utah,59926,67249,4.45,33.3,City,17,1,7.99
Tooele city,Utah,35313,65740,5.44,31.8,City,12,1,31.67
Toquerville city,Utah,1689,81563,6.22,33.6,City,2,1,100
Tremonton city,Utah,8890,59488,2.43,31,City,5,0,0
Vernal city,Utah,10449,47962,7.22,30.3,City,5,1,30.08
Washington city,Utah,28192,75389,0.87,34.7,City,13,0,0
Washington Terrace city,Utah,9181,65204,6.1,33.2,City,3,0,0
Wellington city,Utah,1501,45375,7.91,32.1,City,2,0,0
Wellsville city,Utah,3847,84209,0.78,26.8,City,3,0,0
Wendover city,Utah,1258,36882,1.2,30.5,City,1,1,100
West Bountiful city,Utah,5724,99797,2.24,38.1,City,6,0,0
West Haven city,Utah,15003,80762,2.24,29.6,City,6,0,0
West Jordan city,Utah,115181,84722,3.68,32.1,City,30,0,0
West Point city,Utah,10829,99226,1.02,31.8,City,4,0,0
West Valley city,Utah,135610,70427,4.22,30.2,City,32,7,36.03
Willard city,Utah,1688,86484,1.11,36.8,City,2,0,0
Woodland Hills city,Utah,1422,121750,1.63,36.3,City,1,0,0
Woods Cross city,Utah,11423,85453,2.05,31.6,City,4,0,0
Barre city,Vermont,8590,42958,6.17,41.6,City,2,1,48.33
Burlington city,Vermont,42645,55461,4.21,27.1,City,11,1,6.73
Montpelier city,Vermont,7434,65668,2.82,45.4,City,4,0,0
Newport city,Vermont,4244,49028,4.07,46.2,City,3,2,80.15
Rutland city,Vermont,15207,48182,4.67,48.1,City,4,2,53.54
South Burlington city,Vermont,19359,76227,3.82,39.3,City,5,0,0
St. Albans city,Vermont,6796,51431,4.1,36.1,City,2,1,49
Vergennes city,Vermont,2607,63859,1.89,44.4,City,1,0,0
Winooski city,Vermont,7320,56236,3.2,33.3,City,4,1,100
Alexandria city,Virginia,158309,102227,3.29,36.8,City,48,2,8.15
Bristol city,Virginia,17059,39679,6.33,42.4,City,5,2,51.82
Buena Vista city,Virginia,6477,36634,1.83,35.6,City,2,0,0
Charlottesville city,Virginia,47217,59598,4.04,32.3,City,12,2,20.07
Chesapeake city,Virginia,242647,81261,5.24,37,City,61,4,10.25
Colonial Heights city,Virginia,17283,60522,6.06,40.3,City,5,1,19.69
Covington city,Virginia,5653,41024,2.74,42.1,City,2,1,52.98
Danville city,Virginia,40668,37147,7.14,40.9,City,16,12,78.82
Emporia city,Virginia,5408,30058,16.74,34.8,City,2,2,100
Fairfax city,Virginia,23312,109708,4.03,38,City,10,0,0
Falls Church city,Virginia,14309,146922,4.44,39.2,City,3,0,0
Franklin city,Virginia,8015,49811,9.94,40.3,City,8,1,11.07
Fredericksburg city,Virginia,29059,69528,5.79,30.7,City,7,1,10.83
Galax city,Virginia,6402,35184,8.34,42.3,City,2,2,100
Hampton city,Virginia,135169,57041,6.12,36.3,City,37,8,23.38
Harrisonburg city,Virginia,53558,49117,4.74,25.8,City,11,6,63.37
Hopewell city,Virginia,22500,43262,8.41,36.1,City,7,4,53.54
Lexington city,Virginia,7205,50714,3.36,22.2,City,2,0,0
Lynchburg city,Virginia,80970,49201,6.31,28.5,City,23,7,41.71
Manassas city,Virginia,41038,86227,4.36,34.7,City,10,2,33.17
Manassas Park city,Virginia,17548,81639,3.11,35.3,City,3,0,0
Martinsville city,Virginia,12646,36166,3.94,41.7,City,5,4,77.89
Newport News city,Virginia,179582,54511,5.71,33.8,City,47,17,38.94
Norfolk city,Virginia,244300,53026,7.99,30.8,City,81,28,40.05
Norton city,Virginia,3969,30518,8.58,43.7,City,1,1,100
Petersburg city,Virginia,30791,43029,12.61,37.2,City,11,9,77.44
Poquoson city,Virginia,12121,100696,1.73,43.2,City,4,0,0
Portsmouth city,Virginia,94961,53213,6.25,35.5,City,31,14,34.36
Radford city,Virginia,17833,34576,6.48,23.7,City,4,0,0
Richmond city,Virginia,229233,51421,6.32,34.1,City,75,25,46.33
Roanoke city,Virginia,99122,45664,6.73,38.2,City,25,9,41.16
Salem city,Virginia,25290,63411,4.93,41.2,City,5,1,19.28
Staunton city,Virginia,24660,52292,3.68,41.5,City,7,1,20.66
Suffolk city,Virginia,91383,79899,6.2,38.1,City,36,3,16.92
Virginia Beach city,Virginia,450882,78136,4.38,36.4,City,112,6,4.68
Waynesboro city,Virginia,22300,43480,4.62,40.8,City,5,3,51.88
Williamsburg city,Virginia,15034,59288,5.19,25.7,City,3,0,0
Winchester city,Virginia,27912,61102,5.29,37.3,City,6,0,0
Aberdeen city,Washington,16571,42203,8.29,36,City,9,4,51.82
Airway Heights city,Washington,8885,54690,6.84,32.8,City,2,1,69.55
Algona city,Washington,3207,73611,9.79,30.8,City,3,0,0
Anacortes city,Washington,17231,74161,4.52,48.5,City,10,2,63.02
Arlington city,Washington,19947,77023,2.68,40.1,City,8,0,0
Asotin city,Washington,1168,56658,2.93,45.4,City,1,0,0
Auburn city,Washington,80914,76410,4.53,35.4,City,23,3,16.08
Bainbridge Island city,Washington,24859,125861,3.25,49.7,City,7,0,0
Battle Ground city,Washington,20931,82096,3.95,33.4,City,7,0,0
Bellevue city,Washington,146145,129497,3.52,37.6,City,40,1,4.03
Bellingham city,Washington,90821,56198,4.49,32.9,City,25,1,3.98
Benton city,Washington,3422,54792,8.88,29.3,City,4,0,0
Bingen city,Washington,577,71786,4.07,38.9,City,2,0,0
Black Diamond city,Washington,4703,111250,1.82,39.8,City,3,0,0
Blaine city,Washington,5427,72772,12.74,41.3,City,5,0,0
Bonney Lake city,Washington,21247,100951,2.52,36.1,City,11,0,0
Bothell city,Washington,46386,107651,4.87,37.7,City,31,0,0
Bremerton city,Washington,41258,57963,6.06,32.4,City,17,4,30.14
Brewster city,Washington,2323,43966,3.85,24.5,City,1,1,100
